Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 	Datadase	Asscession	Known/Putative? 
Enzyme Commission	2.4.2.55	Putative	KEGG	K21797	Putative	Pfam	PF08285	Putative
Enzyme Commission	2.4.2.57	Putative	KEGG	K21798	Putative	Pfam	PF08302	Putative
Enzyme Commission	2.4.2.59	Putative	KEGG	K00889	Putative	Pfam	PF08372	Putative
Enzyme Commission	2.4.2.60	Putative	KEGG	K13712	Putative	Pfam	PF08398	Putative
Enzyme Commission	2.4.99.18	Putative	KEGG	K01099	Putative	Pfam	PF08416	Putative
Enzyme Commission	2.4.99.19	Putative	KEGG	K20278	Putative	Pfam	PF08436	Putative
Enzyme Commission	2.4.99.20	Putative	KEGG	K20279	Putative	Pfam	PF08469	Putative
Enzyme Commission	2.4.99.21	Putative	KEGG	K00922	Putative	Pfam	PF08472	Putative
Enzyme Commission	2.5.1.3	Putative	KEGG	K21289	Putative	Pfam	PF08499	Putative
Enzyme Commission	2.5.1.10	Putative	KEGG	K01110	Putative	Pfam	PF08543	Putative
Enzyme Commission	2.5.1.19	Putative	KEGG	K03084	Putative	Pfam	PF08552	Putative
Enzyme Commission	2.5.1.26	Putative	KEGG	K15909	Putative	Pfam	PF08629	Putative
Enzyme Commission	2.5.1.29	Putative	KEGG	K00923	Putative	Pfam	PF08632	Putative
Enzyme Commission	2.5.1.30	Putative	KEGG	K01109	Putative	Pfam	PF08645	Putative
Enzyme Commission	2.5.1.31	Putative	KEGG	K00921	Putative	Pfam	PF08673	Putative
Enzyme Commission	2.5.1.41	Putative	KEGG	K22913	Putative	Pfam	PF08709	Putative
Enzyme Commission	2.5.1.42	Putative	KEGG	K00920	Putative	Pfam	PF09022	Putative
Enzyme Commission	2.5.1.54	Putative	KEGG	K05858	Putative	Pfam	PF09023	Putative
Enzyme Commission	2.5.1.55	Putative	KEGG	K05857	Putative	Pfam	PF09056	Putative
